item_id,canonical_topic,first_seen,last_seen,status,stage_s,editorial_e,production_p,new_evidence,next_check,review_by,rejection_reason,source_report,source_families,scene_status,upstream_gate,structural_question,question_gate,question_hypothesis
20260904-01,서울 주말 숙소 날짜별 최저가,2026-09-04,2026-09-08,탈락,S0,E0,미판정,"v1.3 재판정: 날짜별 가격은 현상이지만 단일 플랫폼·숙소라 비교축이 부족함","복수 플랫폼·숙소·기간에서 동일 조건 가격과 차별·약관 문제를 확인할 때만 재평가",,"가격 비교와 예약 가능 여부만 있고 기사적 의미가 없음",scheduled-output/daily/runs/2026-09-08-0954-v1.3-question-gate.md,PRICE|BEHAVIOR,없음,FAIL,"단일 숙박 가격 차이는 현재 기사 질문을 지지하지 못함",HOLD,"같은 조건에서도 플랫폼·날짜·이용자별 가격 차이가 체계적인가"
20260904-02,서울 공연 티켓 오픈 접근성,2026-09-04,2026-09-08,탈락,S0,E0,미판정,"v1.3 재판정: 티켓 오픈과 판매 상태만으로 일정·가격 이상의 질문이 없음","독점 판매·반복 환불 피해·접근 차별의 측정 가능한 현상이 생길 때만 재평가",,"행사 이용정보에 머물며 분해·비교 질문이 없음",scheduled-output/daily/runs/2026-09-08-0954-v1.3-question-gate.md,BEHAVIOR,없음,FAIL,"공연 티켓팅 자체는 기사적 구조를 만들지 못함",FAIL,"티켓 판매 상태 외 검증할 분포·격차 질문이 없음"
20260904-03,성수 트레이딩카드 오프라인 거래,2026-09-04,2026-09-08,탈락,S0,E0,미판정,"v1.3 재판정: 행사 공지와 거래 기대만 있고 객관적 결과·비교축이 없음","반복 불공정 거래나 소비자 피해 데이터가 생길 때만 재평가",,"취미 행사 안내이며 검증 가능한 새 질문이 없음",scheduled-output/daily/runs/2026-09-08-0954-v1.3-question-gate.md,INDUSTRY,없음,FAIL,"취미 거래 행사의 규모나 인기는 기사 구조가 아님",FAIL,"행사 일정·가격 이외의 질문을 만들 수 없음"
20260904-04,전통시장·대형마트 쌀 가격 차이,2026-09-04,2026-09-08,장기 관찰,S0,E1,미판정,"v1.4 질문 품질 7점: 구매 축소 가설은 있으나 긴장과 책임 주체가 약해 HOLD로 재분류","동일 규격 영수증과 소득대별 구매 축소를 확인하고 유통 구조와 규격 구성 효과를 구분",2026-09-21,"시민 손실과 경쟁 가설을 가를 자료가 아직 없어 질문 품질 PASS에 미달",scheduled-output/daily/runs/2026-09-08-1012.md,PUBLIC|PRICE|INDUSTRY|MEDIA,간접 보도,HOLD,"같은 쌀을 사도 유통 경로에 따라 특정 가구가 구매량이나 품목을 바꾸고 있는가",HOLD,"유통 구조가 부담을 키운 것인지 규격·산지·행사 조건의 구성 차이인지 구분한다"
20260904-05,잔다리페스타 다중 공연장 패스,2026-09-03,2026-09-08,탈락,S0,E0,미판정,"v1.3 재판정: 종료된 공연과 패스 가격은 분해·비교할 객관적 결과가 없음","공공자원·노동·안전의 측정 가능한 결과가 생길 때만 재평가",,"일정·가격·동선 안내에 머물며 새 질문이 없음",scheduled-output/daily/runs/2026-09-08-0954-v1.3-question-gate.md,INDUSTRY,없음,FAIL,"행사 종료 뒤 남는 기사적 의미가 없음",FAIL,"공연장 이동과 패스 가격 외 검증 질문이 없음"
20260904-06,왕십리 당일 소셜모임 보증금·성비 운영,2026-09-04,2026-09-08,장기 관찰,S0,E0,미판정,"v1.3 재판정: 약관·환불·성비 운영을 비교할 질문은 가능하지만 단일 게시물이라 현상 성립이 미확인","복수 사업자의 약관·보증금·환불 사례를 같은 조건으로 비교",2026-09-21,"객관적 규모와 반복성이 없어 기사 게이트를 심사할 수 없음",scheduled-output/daily/runs/2026-09-08-0954-v1.3-question-gate.md,SOCIAL,없음,FAIL,"반복적 소비자 피해 구조가 확인되지 않음",HOLD,"모임 플랫폼의 보증금·환불 조건이 성별·서비스별로 체계적으로 다른가"
20260907-01,서울 출발 상하이 날짜별 항공 운임 편차,2026-09-07,2026-09-08,탈락,S0,E0,미판정,"v1.3 재판정: 날짜·항공사·예약시점 분해 질문은 가능하지만 단일 항공사 표본뿐임","복수 항공사·플랫폼의 동일 조건 시계열과 환불 약관을 확보할 때 재평가",,"현재 표본으로 집중·차별·권리 손실을 확인할 수 없음",scheduled-output/daily/runs/2026-09-08-0954-v1.3-question-gate.md,PRICE,없음,FAIL,"단일 운임 표본은 기사적 의미를 지지하지 못함",HOLD,"운임 편차가 예약시점·채널·이용자 조건에 따라 체계적인가"
20260907-02,서울 중저가 생활권 주택 매수 이동,2026-09-07,2026-09-08,보류,S1,E2,미판정,"6월 상승률은 동북 2.74%·서북 2.73%로 동남 2.52%보다 높고 대형은 0.33% 하락한 반면 중대형은 3.05% 상승해 이동 가능성을 보강했으나 실제 매수자 이유는 미확인","실거래가를 가격대·면적·자치구별로 재집계하고 노원·성북·중랑 중 2곳의 매수자 선택을 현장 확인",2026-09-14,"가격지수만으로 대출규제에 따른 실수요자 이동과 포기를 단정할 수 없음",scheduled-output/daily/runs/2026-09-08-1012.md,MEDIA|PUBLIC,간접 보도,PASS,"서울의 감당 가능한 주택 감소가 실수요자를 어느 생활권으로 이동시키고 무엇을 포기하게 하는가",PASS,"감당 가능한 가격대 거래가 어느 자치구·면적으로 이동했고 과거보다 집중됐는가"
20260908-01,서울세계불꽃축제 귀가 분산과 여의나루역 장시간 무정차,2026-09-08,2026-09-08,보류,S0,E1,미판정,"v1.4 질문 품질 7점: 부담 이전 가설은 있으나 행사 뒤 지속성과 구조 책임이 약해 HOLD로 재분류","전체 혼잡 감소와 대체역 이동시간 순증을 함께 비교",2026-09-11,"일회 행사 운영 점검을 넘어설 지속적 시민 손실이 미확인",scheduled-output/daily/runs/2026-09-08-0954-v1.3-question-gate.md,PUBLIC|MEDIA,관찰됨,HOLD,"혼잡을 줄이기 위한 역 무정차가 귀가 시간과 혼잡을 다른 역 이용자에게 전가했는가",HOLD,"부담 이전인지 전체 안전 개선인지 역별 승하차와 이동시간으로 구분한다"
20260908-02,서울달 현장대기와 기상 운휴 접근성,2026-09-08,2026-09-08,탈락,S0,E0,미판정,"v1.3 재판정: 대기 현상은 있으나 이용자 집단·시간·채널 비교 자료가 없어 질문 생산성이 낮음","반복 마감과 이용자별 접근 차이를 측정할 자료가 생길 때 재평가",,"현재는 관광시설 이용정보를 넘지 못함",scheduled-output/daily/runs/2026-09-08-0954-v1.3-question-gate.md,PUBLIC|BEHAVIOR,관찰됨,FAIL,"반복성과 분포를 확인할 자료가 없음",HOLD,"예약·현장대기·기상운휴가 어떤 이용자의 접근을 더 제한하는가"
