item_id,priority,queued_on,due_status,stage_s,editorial_e,quality_gate,quality_score,evidence_anchor,central_question,citizen_stake,competing_hypotheses,decision_rule,originality_gate,why_now,minimum_test,status,citizen_loss_search,counterevidence_search,evidence_families,scene_plan,decision,blocker,next_check,review_by,last_updated
20260908-12,P1,2026-09-14,OVERDUE,S1,E3,PASS,10,PENDING_REVIEW,"같은 사고를 당한 서울 시민이 거주 자치구 때문에 치료비를 더 부담하는가, 그 격차는 불가피한 재정 차이인가 회피 가능한 보험 설계 차이인가",사고 피해자의 자비 치료비·청구 포기·보상 공백,A: 자치구 재정·보험 설계가 실질 보장 격차를 만듦 | B: 사고·연령·개인보험 조건을 표준화하면 격차가 작아짐,전환: 동일 조건 실수령액·지급률 격차 확인 | 축소: 보험 설계 비교 | 폐기: 표준화 뒤 격차 소멸,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC,미작성,미판정,근거 앵커 재심사 필요,동일 사고·연령·개인보험 상태로 25개 자치구 보장을 표준화하고 보험료·청구·지급률을 확보,2026-09-11,2026-09-16
20260908-04,P1,2026-09-14,OVERDUE,S1,E3,PASS,9,PENDING_REVIEW,인구 감소에도 늘어나는 1인·소형 가구가 필요한 주택보다 아파트 중심 공급이 이어져 더 높은 월세나 더 먼 주거지를 선택하게 하는가,청년·1인 세대의 월세 증가·주거면적 축소·서울 밖 이동,A: 가구 분화와 비아파트 공급 위축이 소형 임대 부족을 만듦 | B: 아파트 내 소형 재고와 기존 공실이 수요를 흡수하며 보급률 하락은 통계 구성 효과임,전환: 1인 가구 증가 지역의 소형 임대 순공급 감소와 월세·전출 증가 | 축소: 가구·주택 분모 분석 | 폐기: 소형 재고·공실·부담률이 수요를 충분히 흡수,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC|MEDIA|INDUSTRY,미작성,미판정,근거 앵커 재심사 필요,가구원 수·주택 규모·점유형태·자치구별 준공과 멸실·월세·공실·전출 사유를 재집계,2026-09-12,2026-09-16
20260908-16,P1,2026-09-14,OVERDUE,S1,E3,PASS,11,PENDING_REVIEW,장기전세 퇴거자 72% 자가 마련은 전체 입주자의 주거사다리 성과인가 자가 마련 뒤 먼저 나간 가구만 본 선택 효과인가,자가 미마련 퇴거자의 고월세·외곽 이동과 소득기준에 따른 취업 억제,A: 자가 마련 퇴거자 중심 표본이 성과를 높여 보임 | B: 전체 코호트에서도 자가 전환과 주거 안정이 유사함,전환: 전체 코호트 전환율 급락과 미마련 퇴거 손실 확인 | 축소: 성과지표 분모 검증 | 폐기: 전체 코호트에서도 성과 유지,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC|MEDIA|VOICE,미작성,미판정,근거 앵커 재심사 필요,"SH·서울시에 1,708가구 표본 설계와 전체 입주·퇴거 코호트, 미마련 퇴거자 점유형태를 요청하고 공개자료 갱신 시 재확인",2026-09-12,2026-09-16
20260908-14,P1,2026-09-14,OVERDUE,S1,E3,PASS,9,PENDING_REVIEW,서울 중심지의 평균적 회복 뒤에서 일부 지역중심은 수요를 잃고 고정비를 부담하는 생활상권으로 남고 있는가,지역 상인의 매출·폐업과 주민의 생활서비스 접근시간 증가,A: 업무·소비 거점 재편이 특정 지역중심의 수요를 구조적으로 빼앗음 | B: 기준점·경계·휴대전화 추정 방식과 시간대 변화가 감소폭을 키움,전환: 생활인구 감소 지역의 매출·생존율·필수서비스 동반 하락 | 축소: 중심지 기능 재편 분석 | 폐기: 보정 뒤 감소가 사라지거나 매출·서비스 유지,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC|INDUSTRY,미작성,미판정,근거 앵커 재심사 필요,같은 공간 단위의 시간대·목적별 생활인구와 카드매출·업종별 개폐업률·임대료·필수서비스를 결합,2026-09-13,2026-09-16
20260908-05,P1,2026-09-14,OVERDUE,S1,E2,PASS,9,PENDING_REVIEW,서울의 음식물쓰레기 감량 책임이 실제 대량 발생원보다 시민 개인에게 더 크게 요구되고 있는가,가구의 감량 비용·행동 부담과 처리비 부담,A: 정책이 대량배출 사업장보다 가구 행동에 책임을 전가함 | B: 가구가 인구 보정 뒤에도 주요 발생원임,전환: 발생·비용과 정책 대상 불일치 확인 | 축소: 발생원별 비용 분석 | 폐기: 책임 배분이 발생 비중과 일치,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC,미작성,미판정,근거 앵커 재심사 필요,2025년 자치구별 가정·음식점·다량배출사업장 발생량과 처리비를 인구·사업체 수로 보정,2026-09-11,2026-09-16
20260908-06,P1,2026-09-14,OVERDUE,S1,E2,PASS,9,PENDING_REVIEW,"고립감이 줄었다는 성과가 실제 고위험 시민의 변화인가, 활동 가능한 응답자의 만족도인가",고립 고위험군이 정책에서 배제되고 효과가 과대평가될 위험,A: 응답·참여 선택 때문에 효과가 과대평가됨 | B: 위험도와 응답 여부를 보정해도 개선이 유지됨,전환: 미응답·고위험군에서 효과 급감 확인 | 축소: 성과 측정 검증 | 폐기: 보정 뒤 효과 유지,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC,미작성,미판정,근거 앵커 재심사 필요,설문지·응답자 연령·자치구·기준 고립도·중도이탈과 비참여 비교집단을 확보,2026-09-11,2026-09-16
20260908-10,P1,2026-09-14,OVERDUE,S1,E2,PASS,9,PENDING_REVIEW,서울의 수도요금 체납 대응이 소수 고액 상습 체납자와 생계형 가구를 구분하지 않아 취약가구에 단수 위험을 더 지우는가,저소득 가구의 급수 중단·복지 미연계와 생존권 위험,A: 일률적 징수 절차가 취약가구에 위험을 전가함 | B: 분할납부·복지연계가 작동해 생계형 단수를 막음,전환: 고액 체납 집중과 취약가구 단수 동시 확인 | 축소: 체납 구성 분석 | 폐기: 생계형 보호 절차가 실효적으로 작동,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC,미작성,미판정,근거 앵커 재심사 필요,"고액 904건의 금액 비중과 가정·사업용, 체납 기간, 단수·복지연계 결과를 확보",2026-09-12,2026-09-16
20260908-11,P1,2026-09-14,OVERDUE,S1,E2,PASS,9,PENDING_REVIEW,서울 집값 상승이라는 평균 뒤에서 실수요자가 살 수 있는 중저가 주택의 거래 기회는 줄고 있는가,중저가 실수요자의 매수 포기·면적 축소·외곽 이동,A: 상승이 특정 고가·지역 주택에 집중되고 중저가 거래가 약화됨 | B: 지수와 중위가격 차이는 신고 지연·표본 구성 효과임,전환: 구성 보정 뒤 중저가 기회 감소 확인 | 축소: 지표 산식 설명 | 폐기: 동일 단지·가격대 보정 뒤 방향 일치,미평가,미기록,미설계,대기,미수행,미수행,PRICE|INDUSTRY,미작성,미판정,근거 앵커 재심사 필요,국토부 실거래를 자치구·면적·가격대·계약일·신고일별로 재집계하고 동일 단지 반복매매와 비교,2026-09-12,2026-09-16
20260908-17,P1,2026-09-14,OVERDUE,S1,E2,PASS,10,PENDING_REVIEW,서울 중장년 채용박람회의 3천 명 채용 규모는 계획 인원인가 실제 고용보험 가입과 3개월 근속으로 이어진 일자리인가,구직자의 지원·면접 시간과 취업 지연·불안정 일자리 위험,A: 계획 인원이 홍보 지표로 쓰여 실제 취업·근속을 과대 표시함 | B: 참가기업 수요가 실제 채용과 안정적 근속으로 이어짐,전환: 계획 대비 실제 취업·근속의 큰 이탈 확인 | 축소: 공공 채용행사 성과지표 검증 | 폐기: 행사별 실제 취업·근속이 계획과 유사,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC|FIELD,미작성,미판정,근거 앵커 재심사 필요,참가기업 20~30곳의 공고·충원 상태를 표본 확인하고 재단에 행사별 실제 취업·고용보험 가입·3개월 근속 집계를 요청,2026-09-12,2026-09-16
20260908-18,P1,2026-09-14,OVERDUE,S1,E2,PASS,10,PENDING_REVIEW,킥보드 없는 거리의 방치 감소는 전체 보행 안전 개선인가 금지선 밖 골목과 역 출구로 기기가 옮겨간 결과인가,경계 밖 보행자의 통행 방해·충돌 위험과 이용자의 마지막 이동 단절,A: 금지구역이 방치와 위험을 인접 공간으로 전가함 | B: 인근 순찰·견인까지 작동해 전체 위험이 감소함,전환: 구역 안 감소와 경계 밖 방치·민원 증가 동반 | 축소: 규제 경계·순찰 설계 검증 | 폐기: 인접 증가 없이 전체 위험 감소,미평가,미기록,미설계,대기,미수행,미수행,PUBLIC|BEHAVIOR|FIELD,미작성,미판정,근거 앵커 재심사 필요,"서울시·자치구에 견인 좌표와 민원·순찰 범위를 요청하고, 금지선 안·0~100m·100~300m 동일 시간대 현장 계수로 재확인",2026-09-12,2026-09-16
