item_id,reviewed_on,quality_gate,quality_score,central_question,citizen_stake,competing_hypotheses,decision_rule,evidence_anchor
20260904-04,2026-09-08,HOLD,7,"같은 쌀을 사도 유통 경로에 따라 가격 부담이 커져 특정 가구가 구매량이나 품목을 바꾸고 있는가","저소득·다인가구의 식비 증가와 구매 축소","A: 유통 단계와 채널 가격 형성이 부담을 키움 | B: 규격·산지·행사 조건의 구성 차이로 설명됨","전환: 동일 규격 격차와 구매 축소 동시 확인 | 축소: 채널 가격 비교 | 폐기: 규격 보정 뒤 격차 소멸",
20260904-06,2026-09-08,HOLD,5,"소셜모임의 보증금·환불·성비 운영이 특정 이용자에게 반복적인 비용 손실을 만드는가","참가자의 환불 지연·보증금 손실 가능성","A: 사업자 약관·성비 운영이 손실을 만듦 | B: 단일 게시물 또는 행사별 예외임","전환: 복수 사업자·피해 반복 확인 | 축소: 약관 비교 | 폐기: 반복 피해 없음",
20260907-02,2026-09-08,PASS,8,"서울 집값 상승 속에서 실수요자가 감당할 수 있는 집이 줄어 더 먼 생활권이나 더 작은 집을 선택하고 있는가","중저가 실수요자의 통근시간 증가·면적 축소·매수 포기","A: 가격·대출 규칙이 실수요자를 외곽과 소형으로 이동시킴 | B: 지역 선호와 신규 공급 구성의 변화임","전환: 가격대별 거래 이동과 선택 포기 확인 | 축소: 실거래 구성 분석 | 폐기: 소득·면적 보정 뒤 이동 없음",
20260908-01,2026-09-08,HOLD,7,"혼잡을 줄이기 위한 역 무정차가 안전을 개선하는 대신 귀가 시간과 혼잡을 다른 역 이용자에게 전가했는가","행사 참가자·인근 주민의 추가 이동시간과 대체역 혼잡","A: 통제가 부담을 주변 역으로 이전함 | B: 전체 혼잡과 안전 위험을 실질적으로 줄임","전환: 대체역 혼잡·이동시간 순증 확인 | 축소: 행사 교통 운영 점검 | 폐기: 전체 이동시간·위험 감소",
20260908-03,2026-09-08,HOLD,7,"철도 회원 통합이 예매를 단순화한다는 목적과 달리 기존 SR 이용자의 첫 예매 기회를 줄였는가","기존 이용자의 전환 실패·대기 이탈·예매 기회 상실","A: 통합 절차가 특정 회원을 배제함 | B: 일시적 숙련 차이이며 전체 성공률은 개선됨","전환: 회원 유형별 실패율 격차 확인 | 축소: 절차 접근성 점검 | 폐기: 통합 전후 격차 없음",
20260908-04,2026-09-08,PASS,9,"인구 감소에도 늘어나는 1인·소형 가구가 필요한 주택보다 아파트 중심 공급이 이어져 더 높은 월세나 더 먼 주거지를 선택하게 하는가","청년·1인 세대의 월세 증가·주거면적 축소·서울 밖 이동","A: 가구 분화와 비아파트 공급 위축이 소형 임대 부족을 만듦 | B: 아파트 내 소형 재고와 기존 공실이 수요를 흡수하며 보급률 하락은 통계 구성 효과임","전환: 1인 가구 증가 지역의 소형 임대 순공급 감소와 월세·전출 증가 | 축소: 가구·주택 분모 분석 | 폐기: 소형 재고·공실·부담률이 수요를 충분히 흡수",
20260908-05,2026-09-08,PASS,9,"서울의 음식물쓰레기 감량 책임이 실제 대량 발생원보다 시민 개인에게 더 크게 요구되고 있는가","가구의 감량 비용·행동 부담과 처리비 부담","A: 정책이 대량배출 사업장보다 가구 행동에 책임을 전가함 | B: 가구가 인구 보정 뒤에도 주요 발생원임","전환: 발생·비용과 정책 대상 불일치 확인 | 축소: 발생원별 비용 분석 | 폐기: 책임 배분이 발생 비중과 일치",
20260908-06,2026-09-08,PASS,9,"고립감이 줄었다는 성과가 실제 고위험 시민의 변화인가, 활동 가능한 응답자의 만족도인가","고립 고위험군이 정책에서 배제되고 효과가 과대평가될 위험","A: 응답·참여 선택 때문에 효과가 과대평가됨 | B: 위험도와 응답 여부를 보정해도 개선이 유지됨","전환: 미응답·고위험군에서 효과 급감 확인 | 축소: 성과 측정 검증 | 폐기: 보정 뒤 효과 유지",
20260908-07,2026-09-08,PASS,9,"첫 24시간 의료돌봄이 가장 위급한 중증장애인의 야간 공백을 줄이는가, 시설에 들어간 소수만 보호하는가","재가·비선정 시설 중증장애인의 야간 응급위험과 가족 돌봄 부담","A: 시설·지역 중심 선정이 더 큰 미충족 수요를 남김 | B: 의료 필요도 기준의 단계적 시범으로 우선순위가 타당함","전환: 필요도 대비 지역·시설 배제 확인 | 축소: 시범사업 대상 분석 | 폐기: 선정이 필요도와 일치하고 확장 경로 명확",
20260908-08,2026-09-08,HOLD,7,"서울 창업생태계 가치 상승이 소수 기업의 평가액을 넘어 시민이 체감할 안정적 일자리로 이어졌는가","구직자·노동자의 일자리 수·임금·고용 지속성","A: 평가액 증가는 소수 기업·지역에 집중돼 고용 체감과 분리됨 | B: 직접·간접 고용과 임금 증가가 광범위하게 나타남","전환: 가치와 고용의 지역·기업 집중 확인 | 축소: 지표 구성 분석 | 폐기: 고용 효과가 넓고 지속적임",
20260908-09,2026-09-08,HOLD,6,"서울 출생아 반등은 정책의 독립 효과인가, 혼인·연령 구조와 전국 공통 회복의 결과인가","정책 자원의 효과와 비수혜 집단의 접근 차이","A: 특정 자치구·정책 노출 집단에서 추가 효과가 있음 | B: 혼인·연령·기저효과로 대부분 설명됨","전환: 비교도시·비노출 집단 대비 추가 효과 확인 | 축소: 인구동향 분석 | 폐기: 전국 공통요인으로 설명",
20260908-10,2026-09-08,PASS,9,"서울의 수도요금 체납 대응이 소수 고액 상습 체납자와 생계형 가구를 구분하지 않아 취약가구에 단수 위험을 더 지우는가","저소득 가구의 급수 중단·복지 미연계와 생존권 위험","A: 일률적 징수 절차가 취약가구에 위험을 전가함 | B: 분할납부·복지연계가 작동해 생계형 단수를 막음","전환: 고액 체납 집중과 취약가구 단수 동시 확인 | 축소: 체납 구성 분석 | 폐기: 생계형 보호 절차가 실효적으로 작동",
20260908-11,2026-09-08,PASS,9,"서울 집값 상승이라는 평균 뒤에서 실수요자가 살 수 있는 중저가 주택의 거래 기회는 줄고 있는가","중저가 실수요자의 매수 포기·면적 축소·외곽 이동","A: 상승이 특정 고가·지역 주택에 집중되고 중저가 거래가 약화됨 | B: 지수와 중위가격 차이는 신고 지연·표본 구성 효과임","전환: 구성 보정 뒤 중저가 기회 감소 확인 | 축소: 지표 산식 설명 | 폐기: 동일 단지·가격대 보정 뒤 방향 일치",
20260908-12,2026-09-08,PASS,10,"같은 사고를 당한 서울 시민이 거주 자치구 때문에 치료비를 더 부담하는가, 그 격차는 불가피한 재정 차이인가 회피 가능한 보험 설계 차이인가","사고 피해자의 자비 치료비·청구 포기·보상 공백","A: 자치구 재정·보험 설계가 실질 보장 격차를 만듦 | B: 사고·연령·개인보험 조건을 표준화하면 격차가 작아짐","전환: 동일 조건 실수령액·지급률 격차 확인 | 축소: 보험 설계 비교 | 폐기: 표준화 뒤 격차 소멸",
20260908-13,2026-09-08,PASS,9,"야간 노동자를 위한 돌봄 지원이 실제로는 표준 신청·예약 시간을 지킬 수 있는 노동자에게 더 많이 돌아가는가","야간·주말·불규칙 노동자의 근무 포기·돌봄비 증가·신청 탈락","A: 시간·지역·지정기관 조건이 핵심 대상의 이용을 막음 | B: 신청·선정·이용률이 근무 형태와 무관하고 수요를 충족함","전환: 야간 직종·지역의 탈락·미이용 집중 확인 | 축소: 사업 이용 접근성 점검 | 폐기: 대상별 이용률과 충족률 차이 없음",
20260908-14,2026-09-08,PASS,9,"서울 중심지의 평균적 회복 뒤에서 일부 지역중심은 수요를 잃고 고정비를 부담하는 생활상권으로 남고 있는가","지역 상인의 매출·폐업과 주민의 생활서비스 접근시간 증가","A: 업무·소비 거점 재편이 특정 지역중심의 수요를 구조적으로 빼앗음 | B: 기준점·경계·휴대전화 추정 방식과 시간대 변화가 감소폭을 키움","전환: 생활인구 감소 지역의 매출·생존율·필수서비스 동반 하락 | 축소: 중심지 기능 재편 분석 | 폐기: 보정 뒤 감소가 사라지거나 매출·서비스 유지",
20260908-15,2026-09-08,PASS,9,"기술창업 증가라는 회복 신호가 서울 동네의 생활서비스 창업 감소와 대체 없는 폐업을 가리고 있는가","자영업 진입 기회·비기술 노동 일자리·가까운 생활서비스 감소","A: 자본·인력이 기술업종에 집중돼 생활서비스 신규 진입과 승계를 약화함 | B: 업종 분류·사업자 재등록·기저효과가 흐름을 과장함","전환: 서울 생활서비스 순감소와 접근·고용 손실 동반 확인 | 축소: 창업 통계 구성 분석 | 폐기: 서울 분해 또는 재등록 보정 뒤 감소 소멸",
